id,name,region,calorie,level,place,instruments,pair,effect,time,group
a0,双侧抬手,back,1,S,home.gym.office.outside,0,0,warmup,40,10
a1,左侧背部弯曲,back,1,S,home.gym.office.outside,0,0,warmup,20,1
a2,右侧背部弯曲,back,1,S,home.gym.office.outside,0,0,warmup,20,1
a3,猫式伸展,back,1,S,home.gym,yogamat,0,stretching,80,10
a4,跪式背部伸展,back,1,S,home.gym,yogamat,0,stretching,1,20
a5,双手向上伸展背部,back,1,S,home.gym.office.outside,0,0,stretching,1,20
a6,坐姿左旋,back,1,S,home.gym.office.outside,0,a7,stretching.relax,40,20
a7,坐姿右旋,back,1,S,home.gym.office.outside,0,a6,stretching.relax,40,20
a8,站姿上背部拉伸,back,1,S,home.gym.office.outside,0,0,stretching,40,20
a9,俯身划船式提肘,back,1,S,home.gym.office.outside,dumbbell,0,strongmuscle,40,20
a10,俯卧挺胸伸展,back,1,S,home.gym,yogamat,0,strongmuscle,40,20
a11,仰卧滑手臂,back,1,S,home.gym,yogamat,0,strongmuscle,40,20
a12,附身哑铃侧平举,back,1,S,home.gym.office.outside,dumbbell,0,strongmuscle,40,20
a13,猫式伸展,back,2,SS,home.gym,yogamat,0,stretching,40,20
a14,跪式背部伸展,back,2,SS,home.gym,yogamat,0,stretching,40,20
a15,左侧背肌拉伸,back,2,SS,home.gym.office.outside,0,a16,stretching,40,20
a16,右侧背肌拉伸,back,2,SS,home.gym.office.outside,0,a15,stretching,40,20
a17,俯卧滑臂,back,2,SS,home.gym,yogamat,0,strongmuscle,40,20
a18,俯卧划船,back,2,SS,home.gym,yogamat,0,strongmuscle,40,20
a19,俯身划船式提肘,back,1,SS,home.gym.office.outside,dumbbell,0,strongmuscle,40,20
a20,俯卧挺胸伸展,back,1,SS,home.gym,yogamat,0,strongmuscle,40,20
a21,猫式伸展,back,1,SSS,home.gym,yogamat,0,stretching,40,20
a22,跪式背部伸展,back,1,SSS,home.gym,yogamat,0,stretching,40,20
a23,左侧背肌拉伸,back,1,SSS,home.gym.office.outside,0,a24,stretching,40,20
a24,右侧背肌拉伸,back,1,SSS,home.gym.office.outside,0,a23,stretching,40,20
a25,俯卧划船,back,2,SSS,home.gym,yogamat,0,strongmuscle,40,20
a26,俯身划船式提肘,back,1,SSS,home.gym.office.outside,dumbbell,0,strongmuscle,40,20
a27,俯卧挺胸伸展,back,1,SSS,home.gym,yogamat,0,strongmuscle,40,20
a28,背撑,back,4,SSS,home.gym,yogamat,0,strongmuscle,40,20
