id,name,region,level,effect,group,calorie,pair,place,time,grouptime,instrument,tip,gifname,,,,,,,
a1,点头运动,neck,S,warmup,10,1,no,home.office.gym.outside,6,60,no,挺胸收腹，前后点头，动作要缓慢，动作幅度至颈部略有紧张感,a1,,,,,,,
a2,左右摆头,neck,S,warmup,10,1,no,home.office.gym.outside,6,60,no,挺胸收腹，左右摆头，动作要缓慢，动作幅度至颈部略有紧张感,a2,,,,,,,
a3,回首望脚跟,neck,S,warmup,10,1,no,home.office.gym.outside,10,100,no,挺胸收腹，向后回首，看脚后跟，可略微带动背部转动，动作要缓慢，动作幅度至颈部略有紧张感,a3,,,,,,,
a4,颈屈肌激活,neck,S,warmup,10,1,no,home.office.gym.outside,4,40,no,挺胸收腹，新疆舞式地向前伸头，动作幅度至颈部略有紧张感，动作要缓慢,a4,,,,,,,
a5,耸肩沉肩,neck,S,strongmuscle,10,1,no,home.office.gym.outside,6,60,no,肩胛骨向上提升到最大幅度，稍有停顿后，向下沉肩，均匀呼吸,a5,,,,,,,
a6,双下巴运动,neck,S,strongmuscle,10,1,no,home.office.gym.outside,4,40,no,保持头部直立，平行向后缩颈部，出现双下巴，注意不要低头,a6,,,,,,,
a7,前侧颈部对抗,neck,S,strongmuscle,1,1,no,home.office.gym.outside,15,15,no,保持颈部直立，将双手放置额头，向后轻轻推头，颈部保持不对，与双手形成对抗,a7,,,,,,,
a8,后侧颈部部对抗,neck,S,strongmuscle,1,1,no,home.office.gym.outside,15,15,no,保持颈部直立，将双手放置头部后方，向前轻轻推头，颈部保持不对，与双手形成对抗,a8,,,,,,,
a9,左侧颈部对抗,neck,S,strongmuscle,1,1,no,home.office.gym.outside,15,15,no,保持颈部直立，将左手放置头部左侧，向右轻轻推头，颈部保持不对，与双手形成对抗,a9,,,,,,,
a10,右侧颈部对抗,neck,S,strongmuscle,1,1,no,home.office.gym.outside,15,15,no,保持颈部直立，将右手放置头部右侧，向左轻轻推头，颈部保持不对，与双手形成对抗,a10,,,,,,,
a11,站姿颈部左后侧拉伸,neck,S,streching,30,1,a12,home.office.gym.outside,1.4,42,no,身体直立，保持腰背挺直，向左前方45度低头，手放在头的右侧，向左侧轻轻用力,a11,,,,,,,
a12,站姿颈部右后侧拉伸,neck,S,streching,30,1,a11,home.office.gym.outside,1.4,42,no,身体直立，保持腰背挺直，向右前方45度低头，手放在头的左侧，向右侧轻轻用力,a12,,,,,,,
a13,坐姿颈部左后侧拉伸,neck,S,streching,30,1,a14,home.office.gym.outside,1.4,42,no,上身直立，保持腰背挺直，向左前方45度低头，手放在头的右侧，向左侧轻轻用力,a11,,,,,,,
a14,坐姿颈部右后侧拉伸,neck,S,streching,30,1,a13,home.office.gym.outside,1.4,42,no,上身直立，保持腰背挺直，向右前方45度低头，手放在头的左侧，向右侧轻轻用力,a12,,,,,,,
a27,卷腹,ventral,S,warmup,6,2,no,home.gym,6,36,yogamat,平躺屈膝，双腿分开与肩同宽，双脚踩实，双手扶于两耳旁，用腹肌的力量将肩部和上背部卷离地面，在最高点略作停顿后，缓慢回到起始位置，卷腹时，下背部保持紧贴地面，手肘保持向外打开，用力卷腹时呼气，下落时吸气,a27,,,,,,,
a28,卷腹摸膝,ventral,S,warmup,6,2,no,home.gym,7,42,yogamat,平躺屈膝，双手扶在大腿上，用腹肌的力量将肩部和上背部卷离地面，在双手触摸到膝盖后，缓慢回到起始位置,a28,,,,,,,
a29,坐姿卷腹,ventral,S,warmup,12,1,no,home.office.gym.outside,3,36,no,坐直上身，双腿放松，靠腹肌的力量带动躯干，使胸部尽量靠近膝盖，身体下弯时呼吸，直立吸气,a29,,,,,,,
